"SubnetId","CidrBlock","SubnetName","AvailabilityZone","AvailabilityZoneId","SubnetArn","VpcId"
"subnet-0ca728b67448755f2","10.61.80.0/23","Public Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:910466079863:subnet/subnet-0ca728b67448755f2","vpc-0e3b8bd9d7091451a"
"subnet-02013038b0fa26097","10.61.90.0/23","Private Subnet 3A","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:910466079863:subnet/subnet-02013038b0fa26097","vpc-0e3b8bd9d7091451a"
"subnet-02b17643414aa7bb2","10.61.84.0/23","Public Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:910466079863:subnet/subnet-02b17643414aa7bb2","vpc-0e3b8bd9d7091451a"
"subnet-0cb4b7634cea47668","10.61.88.0/23","Private Subnet 2A","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:910466079863:subnet/subnet-0cb4b7634cea47668","vpc-0e3b8bd9d7091451a"
"subnet-03faf3033e845422a","10.61.86.0/23","Private Subnet 1A","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:910466079863:subnet/subnet-03faf3033e845422a","vpc-0e3b8bd9d7091451a"
"subnet-06c1f0f6210410928","10.61.82.0/23","Public Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:910466079863:subnet/subnet-06c1f0f6210410928","vpc-0e3b8bd9d7091451a"
"subnet-08a845663d96a608a","10.62.38.0/23","Private Subnet 1A","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:632444249154:subnet/subnet-08a845663d96a608a","vpc-09320ad2b05f2e4e9"
"subnet-0e20a8b2d3d82e153","10.62.42.0/23","Private Subnet 3A","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:632444249154:subnet/subnet-0e20a8b2d3d82e153","vpc-09320ad2b05f2e4e9"
"subnet-09a57dc040bc2215c","10.62.32.0/23","Public Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:632444249154:subnet/subnet-09a57dc040bc2215c","vpc-09320ad2b05f2e4e9"
"subnet-029fafab91a2c45a8","10.62.34.0/23","Public Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:632444249154:subnet/subnet-029fafab91a2c45a8","vpc-09320ad2b05f2e4e9"
"subnet-0acad43ed8befbb9e","10.62.40.0/23","Private Subnet 2A","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:632444249154:subnet/subnet-0acad43ed8befbb9e","vpc-09320ad2b05f2e4e9"
"subnet-0a268750d71eba987","10.62.36.0/23","Public Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:632444249154:subnet/subnet-0a268750d71eba987","vpc-09320ad2b05f2e4e9"
"subnet-0c48214715b52cebe","10.132.32.0/23","Public Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:314761225311:subnet/subnet-0c48214715b52cebe","vpc-0ce423dd64311ff94"
"subnet-053356c2b85ee477b","10.132.34.0/23","Public Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:314761225311:subnet/subnet-053356c2b85ee477b","vpc-0ce423dd64311ff94"
"subnet-0b1af26e39fc82ce5","10.132.36.0/23","Public Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:314761225311:subnet/subnet-0b1af26e39fc82ce5","vpc-0ce423dd64311ff94"
"subnet-0b21e064b2c8d6bc1","10.132.38.0/23","Private Subnet 1A","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:314761225311:subnet/subnet-0b21e064b2c8d6bc1","vpc-0ce423dd64311ff94"
"subnet-03bb64d7833abb674","10.132.40.0/23","Private Subnet 2A","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:314761225311:subnet/subnet-03bb64d7833abb674","vpc-0ce423dd64311ff94"
"subnet-0b2f770adc794cb34","10.132.42.0/23","Private Subnet 3A","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:314761225311:subnet/subnet-0b2f770adc794cb34","vpc-0ce423dd64311ff94"
"subnet-0e52629a93f979c35","10.61.79.128/25","Public Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-0e52629a93f979c35","vpc-06d5ec7c330e25f11"
"subnet-032f3ed1756031183","10.61.77.0/24","DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-032f3ed1756031183","vpc-06d5ec7c330e25f11"
"subnet-09791c98913899ca5","10.61.78.0/24","DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-09791c98913899ca5","vpc-06d5ec7c330e25f11"
"subnet-002e891c589dbfb05","10.61.64.0/22","Private Subnet 1A","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-002e891c589dbfb05","vpc-06d5ec7c330e25f11"
"subnet-0be74e397c3baa609","10.61.68.0/22","Private Subnet 2A","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-0be74e397c3baa609","vpc-06d5ec7c330e25f11"
"subnet-01de353845783c9cb","10.61.79.0/25","Public Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-01de353845783c9cb","vpc-06d5ec7c330e25f11"
"subnet-0772d0ef4e890a7e2","10.61.76.0/24","DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-0772d0ef4e890a7e2","vpc-06d5ec7c330e25f11"
"subnet-035cdae9468cccb98","10.61.72.0/22","Private Subnet 3A","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:191471527424:subnet/subnet-035cdae9468cccb98","vpc-06d5ec7c330e25f11"
"subnet-0f6e43484a0305e2b","10.68.15.240/28","gd-paloalto-baas-stg-LambdaSubnetAz2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0f6e43484a0305e2b","vpc-0c65548c2425e09d9"
"subnet-0376605fd2e922d98","10.68.14.0/24","DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0376605fd2e922d98","vpc-0c65548c2425e09d9"
"subnet-05557acf7ced77316","10.61.45.0/24","Intuit-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-05557acf7ced77316","vpc-07aef514731d3e22a"
"subnet-001f7ca83ccd3e7c0","10.68.15.160/27","gd-paloalto-baas-stg-TRUSTSubnet2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-001f7ca83ccd3e7c0","vpc-0c65548c2425e09d9"
"subnet-0bb20abbf7838b5ea","10.61.36.0/22","Intuit-Private Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0bb20abbf7838b5ea","vpc-07aef514731d3e22a"
"subnet-0b2f407bad53312d5","10.61.20.0/22","Uber-Private Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0b2f407bad53312d5","vpc-03f6e5a2f560ce18b"
"subnet-05fc631d6511b3c7c","10.61.29.0/24","Uber-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-05fc631d6511b3c7c","vpc-03f6e5a2f560ce18b"
"subnet-0a777464cbcacd96f","10.68.15.32/27","gd-paloalto-baas-stg-TRUSTSubnet1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0a777464cbcacd96f","vpc-0c65548c2425e09d9"
"subnet-01e1516bba2d404a7","10.61.30.0/24","Uber-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-01e1516bba2d404a7","vpc-03f6e5a2f560ce18b"
"subnet-00b9f7097896c81db","10.68.8.0/22","Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-00b9f7097896c81db","vpc-0c65548c2425e09d9"
"subnet-015a070ac9088d7b8","10.61.32.0/22","Intuit-Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-015a070ac9088d7b8","vpc-07aef514731d3e22a"
"subnet-02e8d6dde58d7eede","10.61.13.0/24","gbr-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-02e8d6dde58d7eede","vpc-0e96d9daff628ae1b"
"subnet-09278aff1dcd7cae9","10.68.12.0/24","DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-09278aff1dcd7cae9","vpc-0c65548c2425e09d9"
"subnet-0c613620c782ea628","10.68.4.0/22","Private Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0c613620c782ea628","vpc-0c65548c2425e09d9"
"subnet-0af3f3fd6445f2ebc","10.61.16.0/22","Uber-Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0af3f3fd6445f2ebc","vpc-03f6e5a2f560ce18b"
"subnet-0e54e396669e057ec","10.68.15.0/27","gd-paloalto-baas-stg-MGMTSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0e54e396669e057ec","vpc-0c65548c2425e09d9"
"subnet-0e0541b1d49e16bd5","10.68.15.224/28","gd-paloalto-baas-stg-NATGWSubnetAz2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0e0541b1d49e16bd5","vpc-0c65548c2425e09d9"
"subnet-0e50cdc8f69937126","10.61.24.0/22","Uber-Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0e50cdc8f69937126","vpc-03f6e5a2f560ce18b"
"subnet-0f407ade867f9d200","10.68.15.64/27","gd-paloalto-baas-stg-UNTRUSTSubnet1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0f407ade867f9d200","vpc-0c65548c2425e09d9"
"subnet-04b5eb7b1b4fcf6a5","10.61.12.0/24","gbr-DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-04b5eb7b1b4fcf6a5","vpc-0e96d9daff628ae1b"
"subnet-0e8e471bb2415a603","10.61.44.0/24","Intuit-DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0e8e471bb2415a603","vpc-07aef514731d3e22a"
"subnet-016420de7fbb6f36d","10.61.46.0/24","Intuit-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-016420de7fbb6f36d","vpc-07aef514731d3e22a"
"subnet-0cd73b8854af6e988","10.68.0.0/22","Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0cd73b8854af6e988","vpc-0c65548c2425e09d9"
"subnet-0acd88d32771fcf24","10.61.14.0/24","gbr-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0acd88d32771fcf24","vpc-0e96d9daff628ae1b"
"subnet-075008f773853d88e","10.68.15.96/28","gd-paloalto-baas-stg-NATGWSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-075008f773853d88e","vpc-0c65548c2425e09d9"
"subnet-005fe37d5c99a9de8","10.68.15.128/27","gd-paloalto-baas-stg-MGMTSubnetAz2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-005fe37d5c99a9de8","vpc-0c65548c2425e09d9"
"subnet-04e5b94ac4b3f70d9","10.68.15.112/28","gd-paloalto-baas-stg-LambdaSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-04e5b94ac4b3f70d9","vpc-0c65548c2425e09d9"
"subnet-05e6aabee5ea991cb","10.61.8.0/22","gbr-Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-05e6aabee5ea991cb","vpc-0e96d9daff628ae1b"
"subnet-0b29d8e0f3be49b4c","10.61.0.0/22","gbr-Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0b29d8e0f3be49b4c","vpc-0e96d9daff628ae1b"
"subnet-0bca53d04ec01eb27","10.68.15.192/27","gd-paloalto-baas-stg-UNTRUSTSubnet2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0bca53d04ec01eb27","vpc-0c65548c2425e09d9"
"subnet-0239696d508890a19","10.61.40.0/22","Intuit-Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-0239696d508890a19","vpc-07aef514731d3e22a"
"subnet-08dd6a19d92ce175d","10.61.4.0/22","gbr-Private Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-08dd6a19d92ce175d","vpc-0e96d9daff628ae1b"
"subnet-01b3bef573ecf4792","10.61.28.0/24","Uber-DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-01b3bef573ecf4792","vpc-03f6e5a2f560ce18b"
"subnet-03377ac8665767218","10.68.13.0/24","DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:223040669651:subnet/subnet-03377ac8665767218","vpc-0c65548c2425e09d9"
"subnet-07d6b06716cd1eaa0","10.64.128.0/18","Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:908441563114:subnet/subnet-07d6b06716cd1eaa0","vpc-013e26a03263e4489"
"subnet-00ee3bfe8d57569a2","10.64.208.0/21","DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:908441563114:subnet/subnet-00ee3bfe8d57569a2","vpc-013e26a03263e4489"
"subnet-0e96106285ca4b693","10.64.0.0/18","Private Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:908441563114:subnet/subnet-0e96106285ca4b693","vpc-013e26a03263e4489"
"subnet-0b0e81907369aca26","10.64.192.0/21","DB Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:908441563114:subnet/subnet-0b0e81907369aca26","vpc-013e26a03263e4489"
"subnet-0afd3055660bc7815","10.64.200.0/21","DB Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:908441563114:subnet/subnet-0afd3055660bc7815","vpc-013e26a03263e4489"
"subnet-0d8a147d4983277f7","10.64.64.0/18","Private Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:908441563114:subnet/subnet-0d8a147d4983277f7","vpc-013e26a03263e4489"
"subnet-0357d72d9c06e957e","10.61.48.0/22","Uber-Private Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-0357d72d9c06e957e","vpc-053a66a2b0edd92e5"
"subnet-0bc16d2c4b6f9fcb6","10.61.56.0/22","Uber-Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-0bc16d2c4b6f9fcb6","vpc-053a66a2b0edd92e5"
"subnet-0f4fb772e95c772b6","10.67.64.0/18","Private Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-0f4fb772e95c772b6","vpc-0fe052f0c64b39d5a"
"subnet-0d6daa4337d209df7","10.67.0.0/18","Private Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-0d6daa4337d209df7","vpc-0fe052f0c64b39d5a"
"subnet-09c4225e3b1a2ea1d","10.61.62.0/24","Uber-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-09c4225e3b1a2ea1d","vpc-053a66a2b0edd92e5"
"subnet-016bff183cb3554b3","10.67.200.0/21","DB Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-016bff183cb3554b3","vpc-0fe052f0c64b39d5a"
"subnet-06ebbc17212e01bdf","10.61.52.0/22","Uber-Private Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-06ebbc17212e01bdf","vpc-053a66a2b0edd92e5"
"subnet-0ff447d954d2dee7c","10.67.128.0/18","Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-0ff447d954d2dee7c","vpc-0fe052f0c64b39d5a"
"subnet-05fcc2c7741a469bd","10.61.60.0/24","Uber-DB Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-05fcc2c7741a469bd","vpc-053a66a2b0edd92e5"
"subnet-017944b7bedc85c25","10.67.208.0/21","DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-017944b7bedc85c25","vpc-0fe052f0c64b39d5a"
"subnet-05c666fb13984c670","10.61.61.0/24","Uber-DB Subnet 2","us-west-2b","usw2-az2","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-05c666fb13984c670","vpc-053a66a2b0edd92e5"
"subnet-01e06fc35e866f42d","10.67.192.0/21","DB Subnet 1","us-west-2a","usw2-az1","arn:aws:ec2:us-west-2:716308132724:subnet/subnet-01e06fc35e866f42d","vpc-0fe052f0c64b39d5a"
"subnet-085872e6fe193123c","10.131.0.0/18","baas-Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-085872e6fe193123c","vpc-028e25b51d6489534"
"subnet-0293fcefcc7102b34","10.133.47.224/28","intuit-pan-prod-NATGWSubnetAz2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0293fcefcc7102b34","vpc-072496937c8129958"
"subnet-04406230d11d2d47b","10.133.31.96/28","uber-pan-prod-NATGWSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-04406230d11d2d47b","vpc-050b88d7f97ffbf99"
"subnet-0ed070e3c1de59d98","10.133.44.0/24","intuit-DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0ed070e3c1de59d98","vpc-072496937c8129958"
"subnet-02c10719a31659ae3","10.133.46.0/24","intuit-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-02c10719a31659ae3","vpc-072496937c8129958"
"subnet-00753bb661ed15d39","10.131.192.0/21","baas-DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-00753bb661ed15d39","vpc-028e25b51d6489534"
"subnet-05bad9f1ade32b811","10.133.47.112/28","intuit-pan-prod-LambdaSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-05bad9f1ade32b811","vpc-072496937c8129958"
"subnet-0b25df71f66dba3c7","10.131.224.0/24","gd-paloalto-baas-prod-MGMTSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0b25df71f66dba3c7","vpc-028e25b51d6489534"
"subnet-0311adfae0618715a","10.133.32.0/22","intuit-Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0311adfae0618715a","vpc-072496937c8129958"
"subnet-03f426e3b137ca20c","10.131.200.0/21","baas-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-03f426e3b137ca20c","vpc-028e25b51d6489534"
"subnet-0ccdaad1e2cca4e3d","10.133.30.0/24","uber-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0ccdaad1e2cca4e3d","vpc-050b88d7f97ffbf99"
"subnet-03d33ffba735f378e","10.133.40.0/22","intuit-Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-03d33ffba735f378e","vpc-072496937c8129958"
"subnet-0f299c7f48b2b9ea1","10.133.31.240/28","uber-pan-prod-LambdaSubnetAz2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0f299c7f48b2b9ea1","vpc-050b88d7f97ffbf99"
"subnet-0f34e90e282928b1c","10.133.31.192/27","uber-pan-prod-UNTRUSTSubnet2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0f34e90e282928b1c","vpc-050b88d7f97ffbf99"
"subnet-097705dbcd7753813","10.133.8.0/22","gbr-Private Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-097705dbcd7753813","vpc-0d2a0ebcac315c99a"
"subnet-05870f5dcdd26608b","10.133.47.0/27","intuit-pan-prod-MGMTSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-05870f5dcdd26608b","vpc-072496937c8129958"
"subnet-09cb21464926f029d","10.133.36.0/22","intuit-Private Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-09cb21464926f029d","vpc-072496937c8129958"
"subnet-06de5562f26bce938","10.133.29.0/24","uber-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-06de5562f26bce938","vpc-050b88d7f97ffbf99"
"subnet-0525eb9eadf37fd38","10.133.45.0/24","intuit-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0525eb9eadf37fd38","vpc-072496937c8129958"
"subnet-0603a5194d7377604","10.133.31.160/27","uber-pan-prod-TRUSTSubnet2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0603a5194d7377604","vpc-050b88d7f97ffbf99"
"subnet-0107911e2fde56880","10.133.31.112/28","uber-pan-prod-LambdaSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0107911e2fde56880","vpc-050b88d7f97ffbf99"
"subnet-0f5c2c3b8a8438aac","10.133.47.240/28","intuit-pan-prod-LambdaSubnetAz2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0f5c2c3b8a8438aac","vpc-072496937c8129958"
"subnet-0dde65fc14e36fe54","10.133.31.64/27","uber-pan-prod-UNTRUSTSubnet1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0dde65fc14e36fe54","vpc-050b88d7f97ffbf99"
"subnet-0d78b779fbe36459e","10.133.31.32/27","uber-pan-prod-TRUSTSubnet1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0d78b779fbe36459e","vpc-050b88d7f97ffbf99"
"subnet-0de58382f3a64035a","10.131.228.0/24","gd-paloalto-baas-prod-LambdaSubnetAz1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0de58382f3a64035a","vpc-028e25b51d6489534"
"subnet-01802c28c411466aa","10.133.47.192/27","intuit-pan-prod-UNTRUSTSubnet2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-01802c28c411466aa","vpc-072496937c8129958"
"subnet-0baa29e7654f1cdb3","10.133.14.0/24","gbr-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0baa29e7654f1cdb3","vpc-0d2a0ebcac315c99a"
"subnet-009907fe7ec493f99","10.133.13.0/24","gbr-DB Subnet 2","us-west-2b","usw2-az1","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-009907fe7ec493f99","vpc-0d2a0ebcac315c99a"
"subnet-0357c6642012c8b8a","10.133.47.64/27","intuit-pan-prod-UNTRUSTSubnet1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0357c6642012c8b8a","vpc-072496937c8129958"
"subnet-0beb92f4c38dcaa83","10.131.208.0/21","baas-DB Subnet 3","us-west-2c","usw2-az3","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0beb92f4c38dcaa83","vpc-028e25b51d6489534"
"subnet-0ac2f70131bba0d7d","10.133.28.0/24","uber-DB Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0ac2f70131bba0d7d","vpc-050b88d7f97ffbf99"
"subnet-0bbe18b564e6557c0","10.133.0.0/22","gbr-Private Subnet 1","us-west-2a","usw2-az2","arn:aws:ec2:us-west-2:262683030539:subnet/subnet-0bbe18b564e6557c0","vpc-0d2a0ebcac315c99a"
